report_year,plant_id_ferc1,plant_name_ferc1,plant_id_pudl,capacity_mw,net_generation_mwh,capacity_factor,capex_annual_addition,capex_annual_per_mw,capex_annual_per_mwh,opex_total_nonfuel,opex_per_mwh,opex_nonfuel_per_mwh,opex_fuel_per_mwh,report_date
1994,2803,comanche,126,700.0,3253066.0,0.5305065231572081,,,,11560036.0,15.5,3.5535817594847448,11.928412150260709,1994-01-01
1995,2803,comanche,126,700.0,4023033.0,0.6560719178082192,-11430528.0,-16329.325714285715,-2.841271249825691,11306532.0,12.800000190734863,2.8104497278545812,10.06621024485755,1995-01-01
1996,2803,comanche,126,700.0,4319083.0,0.7043514350945858,3084976.0,4407.108571428572,0.7142664310919702,11443868.0,12.899999618530273,2.6496059464474286,10.263458238704835,1996-01-01
1997,2803,comanche,126,700.0,4424635.0,0.7215647423352903,1236212.0,1766.0171428571427,0.27939298947822816,12195788.0,13.0,2.7563376414099694,10.301495151577475,1997-01-01
1998,2803,comanche,126,700.0,4437115.0,0.723599967384214,1559244.0,2227.4914285714285,0.3514094180565525,13129184.0,12.800000190734863,2.9589460719408893,9.818877356119911,1998-01-01
1999,2803,comanche,126,700.0,4563838.0,0.7442658186562296,839872.0,1199.817142857143,0.1840275662720719,12971776.0,13.300000190734863,2.842295453957831,10.454893447138133,1999-01-01
2000,2803,comanche,126,700.0,4223848.0,0.6888206131767776,18632488.0,26617.84,4.411259117278841,11683120.0,13.199999809265137,2.7659896852348855,10.463731649434354,2000-01-01
2001,2803,comanche,126,700.0,4431900.0,0.7227495107632094,6769884.0,9671.262857142858,1.5275353685778108,14193630.0,10.5,3.2026061057334325,7.2555892506599875,2001-01-01
2002,2803,comanche,126,700.0,4697172.0,0.7660097847358122,1950736.0,2786.7657142857142,0.41530009971957593,12534984.0,10.5,2.668623588831748,7.87494943766164,2002-01-01
2003,2803,comanche,126,700.0,4864064.0,0.7932263535551207,6861612.0,9802.302857142857,1.4106746950698017,12089584.0,10.100000381469727,2.4854903224957567,7.65312462993908,2003-01-01
2004,2803,comanche,126,700.0,4301827.0,0.7015373450750163,13251620.0,18930.885714285716,3.0804632543335657,19991668.0,12.699999809265137,4.6472505751626,8.045838198514259,2004-01-01
2005,2803,comanche,126,700.0,4292543.0,0.700023320287019,4195320.0,5993.314285714286,0.9773507219380213,20788676.0,13.5,4.842974432638182,8.610704656889867,2005-01-01
2006,2803,comanche,126,700.0,4877932.0,0.795487932159165,545506.0,779.2942857142857,0.11183140724388942,17605852.0,15.199999809265137,3.6092860663084276,11.63575465996656,2006-01-01
2007,2803,comanche,126,700.0,4450973.0,0.7258599151989563,9707918.0,13868.454285714286,2.181077710424215,22576376.0,17.0,5.072233868864179,11.948964866783061,2007-01-01
2008,2803,comanche,126,700.0,4378101.0,0.7139760273972603,128710684.0,183872.4057142857,29.398747082353744,27115568.0,19.799999237060547,6.19345419395304,13.574259707576413,2008-01-01
2009,2803,comanche,126,778.5,4705019.0,0.6899198787036304,31917264.0,40998.41233140655,6.783663147800254,26298440.0,21.299999237060547,5.589443953361293,15.747904950011892,2009-01-01
2010,2803,comanche,126,1284.0,5959070.0,0.5297968321028749,956244804.0,744738.9439252337,160.46879865482364,37584320.0,23.200000762939453,6.3070781178942354,16.860746391634937,2010-01-01
2011,2803,comanche,126,1635.300048828125,6169782.0,0.43069344625981576,17541638.0,10726.862029124588,2.8431536154762034,50921968.0,25.799999237060547,8.25344688029496,17.569844769231718,2011-01-01
2012,2803,comanche,126,1635.300048828125,7421325.0,0.5180598017991765,54997746.0,33631.59319869893,7.410771796141525,43770624.0,24.299999237060547,5.8979527240755525,18.366214658433634,2012-01-01
2013,2803,comanche,126,1635.300048828125,7239127.0,0.5053411215408391,-35141737.0,-21489.473460960864,-4.854416423416802,44549824.0,25.5,6.154032661673154,19.302309795089933,2013-01-01
2014,2803,comanche,126,1635.300048828125,6859537.0,0.4788431147610593,25748832.0,15745.631523983573,3.753727401718221,55447392.0,25.600000381469727,8.083255764929907,17.494916056287764,2014-01-01
2015,2803,comanche,126,1635.300048828125,7029257.0,0.4906907443368232,7766736.0,4749.425651620162,1.104915640443933,49725888.0,23.799999237060547,7.074131448032132,16.6858784648221,2015-01-01
2016,2803,comanche,126,1635.300048828125,7182730.0,0.5014042209682232,23746016.0,14520.892368967194,3.3059875562634264,55010032.0,15.899999618530273,7.658652350847102,8.283605815616069,2016-01-01
2017,2803,comanche,126,1635.300048828125,7577019.0,0.5289283195882939,3487808.0,2132.8244945014244,0.46031401003481714,53035200.0,23.299999237060547,6.999480930429236,16.27160655133635,2017-01-01
2018,2803,comanche,126,1635.300048828125,7860923.0,0.5487467819208279,606208.0,370.7013892859697,0.0771166439360874,48168968.0,22.299999237060547,6.1276478601813045,16.160212229530806,2018-01-01
